FR;EN;DE;ES;CT;IT;RU;PL;UK;AZ;RO;NL;TU;GR;HU;FI;EE;CZ;PT;SW;SR;BU;AR;HR;DN;AL;KZ;SK;NO;GE;BL;LT;GA;BH;SV;LV;YI;SC;MK;LA;EU;WA;ML;AB;LU;IS;IR
fois;times;Zeit;tiempo;temps;ora;vremya;czas;raziv;dafa;ori;keer;zamanlar;forés;alkalommal;ajat;korda;krát;vezes;gånger;puta;puti;zhamanaknery;puta;gange;kohët;ret;doba;ganger;jer;raz;laikai;veces;puta;krat;reizes;mal;amannan;vreminja;temporibus;aldiz;amseroedd;zminijiet;marrat;Zäiten;sinnum;amanna
rue;street;Strasse;calle;carrer;strada;ulitsa;ulica;vulytsya;küça;strada;straat;sokak;drómos;utca;katu;tänav;ulice;rua;gata;ulica;ulitsa;pvoghots;ulica;gade;rrugë;kose;poulicné;gate;kucha;vulica;gatve;rúa;ulica;ulica;iela;gas;sràid;ulica;via;kalean;stryd;triq;sharie;Strooss;gata;sráid
monde;world;Welt;mundo;món;mondo;mir;swiat;svit;dünya;lume;wereld;Dünya;kósmos;világ;maailman-;maailm;svet;mundo;värld;svet;svyat;ashkharhy;svijet;verden;botë;älem;svet;verden;samqaro;sviet;pasaulis;mundo;svetu;svet;pasaule;velt;shaoghal;svetot;orbis;mundu;byd;dinja;alealamia;welt;heimur;domhan
tête;head;Kopf;cabeza;cap;testa;golova;g?owa;holova;bas;cap;hoofd;kafa;kefáli;fej;pää;pea;hlava;cabeça;huvud;glava;glava;glukh;glava;hoved;kokë;basi;hlava;hode;tavi;halava;galva;cabeza;glava;glava;galva;kop;ceann;glava;caput;burua;pen;ras;rayiys;Kapp;höfudh;ceann
pays;country;Land;país;país;paese;strana;kraj;krayina;ölka;tara;land;ülke;Chóra;ország;maa;riik;zeme;país;Land;zemlju;durzhava;yerkir;zemlja;Land;vend;eli;krajina;land;kveqana;kraina;Šalis;país;država;država;valsts;land;dùthaich;zemja;patriam;herrialde;wlad;pajjizna;balad;Land;landi;tír
raison;reason;Grund;razón;raó;ragione;prichina;powód;prychyna;sabab;motiv;reden;neden;lógos;ok;syy;põhjus;duvod;Razão;anledning;razlog;prichina;patcharr;razlog;grund;arsye;sebep;dôvod;Årsaken;mizezi;prycyna;priežastis;razón;razlog;razlog;iemesls;sibh;adhbhar;pricina;ratio;arrazoia;rheswm;raguni;alsabab;Grond;ástaedhan;chúis
coeur;heart;Herz;corazón;cor;cuore;serdtse;serce;sertse;urak;inima;hart;kalp;kardiá;szív;sydän;süda;srdce;coração;hjärta;srce;surtse;sirt;srce;hjerte;zemër;jürek;Srdce;hjerte;guli;serca;širdis;corazón;srce;srce;sirds;harts;cridhe;srce;cor meum;bihotz;galon;qalb;qalb;Häerz;hjarta;croí
dieu;God;Gott;dios;déu;Dio;bog;Bóg;Bozhe;Allah;Dumnezeu;God;Tanri;Theós;Isten;Jumala;Jumal;buh;Deus;Gud;Bog;Bog;Astvats;Bog;Gud;zot;Quday;boh;Gud;ghmerto;Boh;Dieve;Deus;Bože;Bog;Dievs;got;Dia;Bog;Deus;jainko;Duw;Alla;allah;Gott;Gudh;Dia
jour;day;Tag;día;dia;giorno;den;dzien;den;gün;zi;dag;gün;iméra;nap;päivä;päev;den;dia;dag;dan;den;or;dan;dag;ditë;kün;den;dag;dghes;dzien;diena;día;dan;dan;diena;tog;latha;den;dies;egun;diwrnod;jum;yawm;Dag;dagur;lá
monsieur;sir;Herr;señor;senyor;signore;ser;pan;ser;ser;domn;mijnheer;Bayim;Kýrie;úr;hyvä herra;söör;Vážený pane;Senhor;herr;gospodine;gospodine;syr;gospodine;hr;zotëri;mirza;Pane;Herr;batono;ser;pone;señor;gospodine;gospod;kungs;har;sir;gospodine;domine;jauna;syr;Sinjur;sayidi almuhtarm;Här;herra;a dhuine uasail
personne;person;mensch;persona;persona;persona;chelovek;osoba;osoba;saxs;persoana;persoon;kisi;prósopo;személy;henkilö;inimene;osoba;pessoa;person;osoba;chovek;mard;osoba;person;person;adam;clovek;person;pirovneba;tvar;asmuo;persoa;osoba;oseba;persona;mentsh;duine;licnost;hominem;pertsona;person;persuna;shakhs;Persoun;manneskja;duine
part;part;Teil;parte;part;parte;chast;czesc;chastyna;hissasi;parte;deel;Bölüm;méros;rész;osa;osa;cast;parte;del;deo;chast;mas;dio;del;pjesë;böligi;cast;del;natsili;castka;dalis;parte;deo;del;dala;teyl;pàirt;del;pars;parte;rhan;parti;juz;Deel;hluti;cuid
chambre;bedroom;Zimmer;habitación;habitació;stanza;komnata;pokój;spalnya;yataq otagi;dormitor;slaapkamer;yatak odasi;ypnodomátio;hálószoba;makuuhuone;magamistuba;ložnice;quarto;sovrum;spavaca soba;spalnya;nnjasenyak;spavaca soba;soveværelse;dhomë gjumi;jatin bölme;spálne;soverom;sadzinebeli;spalnia;miegamasis;dormitorio;spavaca soba;spalnica;gulamistaba;shloftsimer;seòmar-cadail;spalna soba;cubiculum;logela;ystafell wely;kamra tas-sodda;ghurfat nawm;Schlofkummer;svefnherbergi;seomra leaba
