FR;EN;DE;ES;CT;IT;RU;PL;UK;AZ;RO;NL;TU;GR;HU;FI;EE;CZ;PT;SW;SR;BU;AR;HR;DN;AL;SK;NO;GE;BL;LT;GA;BH;SV;LV;YI;SC;MK;LA;EU;WA;ML;LU;IS;IR
jour;day;Tag;dia;dia;giorno;den;dzien;den;gun;zi;dag;gun;imera;nap;paiva;paev;den;dia;dag;dan;den;or;dan;dag;dite;den;dag;dghes;dzien;diena;dia;dan;dan;diena;tog;latha;den;dies;egun;diwrnod;jum;Dag;dagur;la
monsieur;sir;Herr;senor;senyor;signore;ser;pan;ser;ser;domn;mijnheer;Bayim;Kyrie;ur;hyva herra;soor;Vazheny pane;Senhor;herr;gospodine;gospodine;syr;gospodine;hr;zoteri;Pane;Herr;batono;ser;pone;senor;gospodine;gospod;kungs;har;sir;gospodine;domine;jauna;syr;Sinjur;Har;herra;a dhuine uasail
personne;person;mensch;persona;persona;persona;chelovek;osoba;osoba;saxs;persoana;persoon;kisi;prosopo;szemely;henkilo;inimene;osoba;pessoa;person;osoba;chovek;mard;osoba;person;person;clovek;person;pirovneba;tvar;asmuo;persoa;osoba;oseba;persona;mentsh;duine;licnost;hominem;pertsona;person;persuna;Persoun;manneskja;duine
part;part;Teil;parte;part;parte;chast;czesc;chastyna;hissasi;parte;deel;Bolum;meros;resz;osa;osa;cast;parte;del;deo;chast;mas;dio;del;pjese;cast;del;natsili;castka;dalis;parte;deo;del;dala;teyl;pairt;del;pars;parte;rhan;parti;Deel;hluti;cuid
chambre;bedroom;Zimmer;habitacion;habitacio;stanza;komnata;pokoj;spalnya;yataq otagi;dormitor;slaapkamer;yatak odasi;ypnodomatio;haloszoba;makuuhuone;magamistuba;lozhnice;quarto;sovrum;spavaca soba;spalnya;nnjasenyak;spavaca soba;sovevaerelse;dhome gjumi;spalne;soverom;sadzinebeli;spalnia;miegamasis;dormitorio;spavaca soba;spalnica;gulamistaba;shloftsimer;seomar cadail;spalna soba;cubiculum;logela;ystafell wely;kamra tas sodda;Schlofkummer;svefnherbergi;seomra leaba
être;be;Sein;ser;ser;essere;byt ;bych;buty;olmaq;fi;zijn;olmak;einai;lenni;olla;olla;byt;ser;vara;biti;bude;linel;biti;vaere;behesh;byt;vaere;q opna;bych;b?ti;ser;biti;biti;b?t;zeyn;bhith;bidesh;esse;izan;fod;tkun;sinn;vera;bheith
avoir;have;haben;tener;tenir;avere;imet ;miech;maty;vari olmaq;avea;hebben;sahip olmak;echo;birtokolni;olla;omama;mit;Ter;ha;imati;imam;unenal;imati;have;kesh;mat;ha;hkondes;miech;tur?ti;ter;imati;imeti;pieder?t;habn;Ri bhith faighinn;ima;habere;eduki;gael;jkollok;hunn;hafa;mbeadh
pouvoir;can;konnen;poder;poder;potere;mozhet;aby moc;mozhna;ede biler;putea;kunnen;yapabilmek;borei;lehet;voi;saab;m?zhe;poder;kan;mogu;moga;karogh e;mogu;kan;mundet;môzhe;kunne;sheudzlia;mozhna;gal?ti;poder;mogu;lahko;var?t;kenen;can;mozhe;potere;ahal;allu;tista ;kann;geta;is feidir
faire;make;machen;hacer;fer;produrre;delat ;robich;zrobyty;hazirlamaq;face;maken;yapmak;kano;csinalni;tehda;tegema;delat;fazer;gora;napraviti;napravish;anel;napraviti;lave;per bere;urobit;lage;gak eteba;rabich;gaminti;facer;napraviti;narediti;taisit;makhn;Gus dhèanamh;napravi;facere;egin;wneud;taghmel;maachen;gera;Dean
mettre;put;stellen;poner;posar;mettere;polozhit ;polozych;poklasty;qoymaq;pune;zetten;koymak;valo;rakni;laittaa;panema;dat;colocar;lagga;staviti;slozha;dnel;staviti;saette;vendosesh;polozhit;legge;dadeba;stavich;pad?ti;poner;staviti;polozhiti;ielikt;leygn;chuir;stavi;ponere;jarri;rhoi;tpoggi;leeen;setja;Cuir
dire;say;sagen;decir;dir;dire;skazat ;powiedziech;skazaty;demek;zice;zeggen;soylemek;po;mondani;sanoa;utlema;rhict;dizer;saga;rec i;kazha;asel;rechi;sige;thuash;povedat;si;tkma;kazach;sakyti;dicir;rechi;rechi;teikt;zagn;radh;kazham;Dicere;esan;ddweud;tghid;soen;segja;ra
devoir;must;mussen;deber;deure;dovere;dolzhen;musiech;obov yazkovo;olmalidir;trebuie;moeten;mecbur;prepei;kell;pakko;peab;muset;dever;maste;mora;tryabva;partadrel;morati;matte;duhet;musiet;matte;unda;treba;Prival?ti;debe;moraji;mosht;uz must;muzn;feumaidh;mora;necesse;behar;rhaid;trid;mussen;verdha;mor
prendre;take;nehmen;tomar;agafar;prendere;prinyat ;brach;braty;goturmek;lua;nemen;almak;pareis;elvenni;ottaa;võtma;vzit;pegar;ta;uzeti;vzema;verts nel;uzeti;tage;per marre;zobrat;ta;agheba;uziach;paimti;coller;uzeti;vzeti;?emt;nemen;ghabhail;zeme;capere;hartu;cymryd;tiehu;huelen;taka;thogail
donner;give;geben;dar;donar;dare;dat ;dawach;davaty;vermek;da;geven;vermek;dineis;adni;antaa;andma;dat;dar;ge;dati;dadesh;tal;dati;give;japesh;dat;gi;mitsema;davach;duoti;dar;dati;dajati;dot;gebn;thoirt;dava;dare;eman;roi;taghti;ginn;gefa;Tabhair
aller;go;gehen;ir;anar;andare;idti;isch;yty;getmek;merge;gaan;gitmek;pao;menni;menna;minema;jit;ir;ga;da ide;otida;gnal;ichi;ga;per shkuar;ist;ga;ts asvla;isci;eiti;Ir;ichi;iti;iet;geyn;bhith dol;odi;ire;joan;fynd;tmur;goen;fara;dul
vouloir;want;wollen;querer;voler;volere;khotet ;chciech;khotity;istemek;vrea;willen;istemek;thelo;akarni;haluta;tahtma;chtit;querer;vilja;zheleti;iskam;ts ankanal;zheljeti;ville have;deshirosh;chciet;ville;gindodes;zhadach;nor?ti;querer;zheljeti;hoteti;grib?t;veln;bhith ag iarraidh;saka;velle;nahi;eisiau;trid;wellen;vilja;ag iarraidh
savoir;know;wissen;saber;saber;sapere;znat ;wiedziech;znaty;bilmek;sa ?tiu;weten;bilmek;xero;tudni;tietaa;teadma;vedet;saber;veta;znati;znam;imanal;znati;vide;dish;vediet;vite;tsodna;viedach;zhinoti;saber;znati;vedeti;zinat;visn;fios bhith agad;znae;scire;jakin;gwybod;tkun taf;wessen;vita;fios bheith agat
voir;see;sehen;ver;veure;vedere;chtoby uvidet ;zobaczych;bachyty;gormek;vedea;zien;Gormek;gia na do;latni;nahda;et naha;videt;ver;se;videti;vidish;tesnel;vidjeti;se;shikosh;vidiet;se;nakhva;bachych;matyti;Ver;vidjeti;videti;redz?t;zen;Faic;se vidi;videre;ikusi;weld;tara;gesinn;sja;Feach
demander;ask;Fragen;preguntar;preguntar;chiedere;sprosit ;zapytach;pytaty;sorusmaq;intreba;vragen;sormak;rotiso;kerdezni;kysya;kusima;zeptat se;perguntar;fraga;pitati;popitam;Harts nel;pitati;sporge;pyesesh;opytat sa;sporre;tkhovna;pytacca;paklausti;preguntar;pitati;vprashati;jautat;fregn;faighneachd;prasha;rogare;galdetu;ofyn;titlob;Froen;spyrja;Fiafraigh
trouver;find;finden;encontrar;trobar;trovare;nayti;znale?ch;znayty;tapmaq;gasi;vinden;bulmak;vro;megtalalni;loytaa;leidma;najit;encontrar;hitta;pronac i;namerya;gtnel;pronachi;finde;per gjetur;najst;finne;p ovna;znajsci;rasti;atopar;nachi;najti;atrast;gefinen;lorg;najde;invenire;aurkitu;ddod o hyd;Issib;fannen;finna;aimsiu
rendre;return;ruckgeben;regresar;tornar;ritornare;vernut sya;wracach;povertatysya;qayitmaq;intoarce;terugbrengen;geri vermek;to na gyrizeis;visszaterni;palata;tagastama;vratit;retornar;atervanda;povratiti;vurna;Veradarrnal;vratiti;vende tilbage;per t u kthyer;vratit sa;returnere;dabruneba;viarnucca;Gr?zhti;Volver;vratiti;vrniti;Atgriezties;tsurikshikn;tilleadh;se vrati;redire;itzuli;ddychwelyd;tirritorna;zreck goen;snua aftur;thabhairt ar ais
venir;come;Kommen;venir;venir;venire;prikhodit ;przyjsch;prykhodyty;gelmek;veni;komen;gelmek;ertho;jonni;tulla;tulema;prhijit;vir;komma;doc i;doi?de;gal;dochi;komme;vish;prist;komme;mosvla;prychodzich;ateiti;vir;dochi;priti;nakt;kumen;ri thighinn;dojde;venire;etorri;ddod;gejjin;kommen;koma;tar
passer;pass;bestehen;pasar;passar;passare;proyti;zdach;proyty;kecmek;trece;slagen;gecmek;peraso;atmenni;ohittaa;mooduma;projit;passar;passera;da pro?e;mina;ants nel;prochi;passere;per kaluar;prejst;sende;gavla;prajsci;praeiti;pasar;prochi;mimo;nokartot;durkh geyn;dhol seachad;pomine;transire;pasatu;pasio;tghaddi;bestoen;fara framhja;pas fhail
comprendre;understand;verstehen;comprender;entendre;capire;ponimat ;rozumiech;zrozumity;basa dusmek;intelege;begrijpen;anlamak;katalaveis;megerteni;ymmartaa;aru saama;rozumet;entender;forsta;razumeti;razbera;haskanal;razumjeti;forsta;kuptosh;rozumiet;forsta;gageba;razumiech;suprasti;entender;razumjeti;razumeti;saprast;farshteyn;thuigsinn;razbere;comprehendere;ulertu;ddeall;tifhem;verstoen;skilja;thuig
rester;stay;bleiben;quedarse;quedar se;stare;ostat sya;zostach;zalyshytysya;qalmaq;sta;te blijven;kalmak;meino;maradni;jaada;jaama;z?stat;ficar;stanna;ostati;ostana;mnal;ostati;blive;per qendruar;zostat;bli;darchena;zastavacca;pasilikti;quedar;ostati;ostati;palikt;bleybn;fuireach;ostane;manere;egon;aros;toqghod;bleiwen;vera;Fan
tenir;hold;halten;sostener;aguantar;tenere;derzhat ;trzymach;trymaty;tutmaq;tine;vasthouden;tutmak;kratiso;tartani;pitaa;hoidma;drzhet;segurar;halla;da drzhe;zadurzha;pahel;drzhati;holde;mbash;drzhat;holde;gamartavs;praviesci;laikyti;suxeitar;drzhati;drzhati;tur?t;haltn;chumail;drzhi;tenere;eutsi;ddal;zomm;haalen;halda;shealbhu
porter;carry;tragen;llevar;portar;portare;nesti;nosich;nesty;dasimaq;cara;dragen;tasimak;metaferoun;cipelni;kantaa;kandma;nest;carregar;bara;da nose;nosya;k arsh tal;nositi;baere;mbash;niest;baere;t areba;niesci;neshti;levar;nositi;nositi;n?sat;tragn;ghiùlain;nosi;ferre;eraman;gario;iggorr;droen;bera;iompar
parler;speak;sprechen;hablar;parlar;parlare;govorit ;mowich;hovoryty;danismaq;vorbi;spreken;konusmak;miliso;beszel;puhua;raakida;mluvit;falar;tala;Govoriti;govorya;khosel;govoriti;tale;per folur;rozpravat;snakke;lap arak i;havarych;kalb?ti;falar;govoriti;govoriti;runat;redn;bhruidhinn;zboruva;dicere;hitz egin;siarad;titkellem;schwatzen;tala;labhairt
montrer;show;zeigen;mostrar;mostrar;mostrare;pokazyvat ;pokazywach;pokazuvaty;gostermek;arata;laten zien;gostermek icin;deixo;megmutatni;nayttaa;naidata;ukazat;mostrar;visa;pokazati;pokazha;ts uyts  tal;pokazati;vise;per treguar;ukazat;vise;chveneba;pakazach;parodyti;ensinar;pokazati;pokazati;paradit;veyzn;shealltainn;pokazhe;ostendere;erakutsi;ddangos;turi;weisen;til syna;Taispeain
lent;slow;schleppend;lento;lent;lento;medlennyy;powolny;povil nyy;yavas;incet;langzaam;yavas;argos;lassu;hidas;aeglane;zpomalit;lento;langsam;spor;baven;dandagh;usporiti;langsom;ngadalshem;pomaly;sakte;neli;pavo?ny;l?tai;lento;sporo;pochasen;l?ns;pamelekh;slaodach;baven;tarda;motela;araf;bil mod;lues;haegt;mall
rapide;fast;schnell;rapido;rapid;veloce;bystryy;szybki;shvydko;suretli;rapid;snel;hizli;grigora;gyors;nopeasti;kiire;rychle;velozes;snabb;brzo;burz;arag;brzo;hurtig;shpejt;rychly;rask;sts rapi;chutka;greitai;rapido;brzo;hitro;atri;fast;luath;brz;celer;azkarra;gyflym;mghaggel;seier;hratt;tapa
beau;beautiful;gut aussehend;hermoso;guapo;bello;prekrasnyy;piekny;harnyy;gozel;frumos;mooi;guzel;panemorfi;szep;kaunis;ilus;Krasna;bela;skon;Lepa;krasiv;geghets ik;lijep;smuk;e bukur;krasny;vakker;lamazi;pryhozha;grazhus;fermoso;prekrasno;lepa;skaists;sheyn;boidheach;ubava;pulchra;ederra;hardd;sabih;schein;falleg;alainn
intelligent;clever;klug;inteligente;intelligent;intelligente;umnaya;sprytny;rozumnyy;agilli;inteligent;knap;zeki;exypnos;okos;taitava;kaval;chytry;esperto;duktig;pametna;umen;khelats i;pametan;dygtig;zgjuar;shikovny;flink;ch k vianuri;razumny;protingas;intelixente;pametna;pameten;gudrs;klug;glic;umen;Subtiliter;bizkorra;clyfar;bravu;schlau;snjall;cliste
ancien;old;alt;antiguo;vell;vecchio;staryy;stary;staryy;kohne;vechi;oud;eski;palaios;regi;vanha;vana;stary;velho;gammal;stari;star;hin;star;gammel;vjeter;stary;gammel;dzveli;stary;senas;vello;stari;star;vecs;alt;seann;star;veteris;zaharra;hen;qodma;aal;gamall;Sean
nouveau;new;Neu;nuevo;nou;nuovo;novyy;Nowy;novi;yeni;nou;nieuw;yeni;neos;uj;Uusi;uus;Novy;Novo;ny;Nova;nov;nor;novi;ny;ri;Novy;ny;akhali;novy;nauja;novo;novo;novo;jauns;nay;ùr;novo;novus;berriaren;newydd;gdid;nei;nytt;nua
triste;sad;traurig;triste;trist;triste;grustnyy;smutny;sumno;kederli;trist;verdrietig;uzgun;lypimenos;szomoru;surullinen;kurb;smutny;triste;ledsen;tuzno;tuzhen;tkhur;tuzhan;trist;trishtuar;smutny;lei seg;sevdiani;sumna;li?dnas;triste;tuzhan;zhalostno;skumji;troyerik;bronach;tazhen;sad;triste;trist;imdejjaq;traureg;dapur;bronach
heureux;happy;glucklich;feliz;felic;contento;schastlivyy;szczesliwy;shchaslyvyy;xosbext;fericit;gelukkig;mutlu;eftychismenos;boldog;onnellinen;õnnelik;shtastny;feliz;Lycklig;srec na;shtastliv;yerjanik;sretan;lykkelig;lumtur;shtasny;lykkelig;bednieri;shchaslivy;laimingas;feliz;sretan;srechna;laimigs;tsufridn;toilichte;srek en;felix;zoriontsu;hapus;kuntent;glecklech;hamingjusamur;sona
adorable;adorable;bezaubernd;adorable;adorable;adorabile;obozhayemyy;godny podziwu;charivni;heyranedici;adorabil;aanbiddelijk;Asiri tatli;latreftos;imadni valo;ihana;jumalik;rozkoshny;adoravel;fortjusande;divan;vuzkhititelen;pashteli;divan;yndig;adhurueshem;rozkoshny;bedarende;ghirseuli;charouny;zhavinga;adorable;divan;chudovit;burvigs;tayer;ion mholaidh;simpatichna;Venerandum;adorable;annwyl;adorable;seiss;yndisleg;gleoite
timide;shy;schuchtern;timido;timid;timido;zastenchivyy;niesmialy;sorom yazlyvyy;utancaq;timid;verlegen;utangac;ntropalos;felenk;ujo;habelik;plachy;timido;blyg;stidljiv;sramezhliv;amach kot;stidljiv;genert;turpshem;plachy;sjenert;mortskhvi;saramlivy;drovus;timido;stidljiv;sramezhljiv;kautrigs;shemevdik;diùid;sramezhliv;fugax;lotsati;swil;timida;schei;feimin;cuthail
sage;wise;weise;sabio;savi;saggio;mudryy;madry;mudryy;mudrik;in?elept;wijs;bilge;sofos;bolcs;viisas;tark;moudry;sensato;klok;mudar;mudur;imastun;mudar;klog;mencur;mudry;klok;brdzeni;mudry;ishmintinga;sabio;mudar;moder;gudrs;klug;glic;mudar;prudens;jakintsu;doeth;ghaqli;weis;vitur;ciallmhar
fort;strong;stark;fuerte;fort;forte;sil nyy;silny;syl nyy;guclu;puternic;sterk;kuvvetli;ischyros;er?s;vahva;tugev;silny;Forte;stark;jak;silen;uzhegh;jak;staerk;forte;silny;sterk;dzlieri;mocny;stiprus;forte;jak;mochna;stipra;shtark;laidir;silna;fortis;indartsu;cryf;qawwi;staark;sterkur;laidir
magnifique;magnificent;grossartig;magnifico;magnific;magnifico;velikolepnyy;wspanialy;rozkishnyy;mohtesem;magnific;prachtig;muhtesem;megaloprepis;Kaprazatos;upea;suursugune;velkolepy;magnifico;magnifik;velichanstven;velikolepen;hoyakap;velichanstven;storslaet;madheshtor;ve?kolepy;storslatt;didebuli;pyshny;didinga;magnifico;velichanstven;velichastno;lielisks;glentsndik;eireachdail;prekrasen;magnifico;bikain;godidog;magnifico;herrlech;storkostlegt;iontach
merveilleux;wonderful;wunderbar;maravilloso;meravellos;meraviglioso;zamechatel nyy;wspaniale;chudovyy;gozel;minunat;prachtig;olaganustu;ekpliktikos;csodalatos;ihana;imeline;Bajechne;Maravilhoso;underbar;predivna;chudesen;hrashali;predivan;vidunderlig;mrekullueshem;bajechny;herlig;mshvenieri;cudouna;nuostabus;marabilloso;divno;chudovito;brinish?igi;vunderlekh;mìorbhuileach;prekrasno;mirum;zoragarria;rhyfeddol;mill isbah;wonnerbar;yndislegt;iontach
brave;brave;mutig;valiente;valent;coraggioso;Khrabryy;odwazny;khorobryy;cesur;curajos;dapper;cesur;gennaios;bator;urhea;vapper;statechny;bravo;modig;hrabar;smel;k aj;hrabar;modig;trim;statochny;modig;mamatsi;advazhny;drasus;valente;hrabar;pogumna;drosmigs;heldish;treun;hrabar;fortem;ausartak;dewr;kuragguz;courageiert;hugrakkur;croga
dynamique;dynamic;dynamisch;dinamica;dinamic;dinamico;dinamicheskiy;dynamiczny;dynamichnyy;dinamik;dinamic;dynamisch;dinamik;dynamikos;dinamikus;dynaaminen;dunaamiline;dynamicky;dinâmico;dynamisk;dinamichan;dinamichen;dinamik;dinamichan;dynamisk;dinamik;dynamicky;dynamisk;dinamiuri;dynamichny;dinamishkas;dinamico;dinamichan;dinamichen;dinamisks;dinamish;fiùghantach;dinamichen;dynamic;dinamikoa;deinamig;dinamiku;dynamesch;kraftmikill;dinimiciuil
elegant;elegant;elegant;elegante;elegant;elegante;elegantnyy;elegancki;elehantnyy;zerif;elegant;elegant;zarif;kompsos;elegans;tyylikas;elegantne;elegantni;elegante;elegant;elegantno;eleganten;elegant;elegantan;stilfuld;elegant;elegantny;stilig;elegant uri;eliehantny;elegantishkas;elegante;elegantan;eleganten;elegants;elegant;eireachdail;eleganten;ornate;dotore;cain;eleganti;elegant;glaesilegur;galanta
enerve;nervous;nervos;nervioso;nervios;tagliente;razdrazhitel nyy;kanciasty;rizkyy;qiriq;taios;scherp;sinirli;nevrikos;ideges;artyisa;terav;podrazhdeny;nervoso;kantig;oshtrouman;nerven;charpot;nervozan;vred;paduruar;podrazhdeny;sint;sheshlili;rezki;piktas;maldito;oshtri;edgy;nervozs;beyz;edgy;epten;itratus;urduri;nerfus;nervuza;nervos;kvidhin;nearog
sombre;dark;dunkel;oscuro;fosc;buio;temno;ciemny;temnyy;qaranliq;intuneric;donker;karanlik;skotadi;sotet;tumma;tume;temny;Sombrio;mork;tamno;tumen;mut ;mrak;mork;erret;tmavy;mork;bneli;ciomna;tamsi;escuro;mrachno;temno;tumshs;tunkl;dorcha;temno;tenebris;iluna;tywyll;skur;daischter;Myrkur;dorcha
mauvais;bad;Schlecht;malo;dolent;male;Plokho;zly;pohanyy;pis;rau;slecht;kotu;kako;rossz;huono;halb;shpatny;ruim;dalig;loshe;losho;vat;loshe;darlig;keq;zly;darlig;tsudi;drenna;blogai;mal;loshe;slab;slikti;shlekht;dona;losho;malus;txarra;drwg;hazin;schlecht;slaemt;dona
possible;possible;moglich;posible;possible;possibile;vozmozhno;mozliwy;mozhlyvo;mumkun;posibil;mogelijk;mumkun;dynaton;lehetseges;mahdollinen;võimalik;mozhny;possivel;mojlig;moguc e;vuzmozhen;hnaravor e;moguche;muligt;mundshem;mozhny;mulig;shesadzlebelia;mahchyma;galima;posible;moguche;mogoche;iesp?jams;meglekh;comasach;mozhno;maxime;posible;bosibl;possibli;meiglech;mogulegt;feidir
moyen;average;Durchschnittlich;promedio;mitjana;media;sredniy;sredni;seredniy;orta;in medie;gemiddelde;ortalama;mesi timi;atlagos;keskiverto;keskmine;pr?merny;media;genomsnitt;prosek;sredno aritmetichno;mijin;prosjechan;gennemsnit;mesatare;priemerny;gjennomsnitt;sashualo;siaredniaja;vidutinis;media;prosechan;povprechna;vid?jais;durkhshnitlekh;cuibheasach;prosek;mediocris;batezbesteko;cyfartaledd;medja;Duerchschnett;medhaltal;mean
fatigant;tiring;ermudend;fatigoso;esgotador;faticoso;utomitel nyy;meczacy;stomlyuyuchyy;yorucu;obositor;vermoeid;yorucu;kourastikos;faraszto;rasittava;vasitav;unavujici;cansativo;trottsam;naporan;dosaden;hognets uts ich ;naporan;traettende;mundimshem;unavne;slitsomt;damghleli;stomnaja;varginantis;esgotador;naporan;utrujajoche;nogurdinoshs;teyring;sgìth;zamorno;Hoc munus;nekagarria;blinedig;gheja;ustrengend;þreytandi;tuirsiuil
rapidement;quickly;schnell;con rapidez;rapidament;velocemente;bystro;szybko;shvydko;tez;repede;snel;hizli bir sekilde;grigora;gyorsan;nopeasti;kiiresti;rychle;rapidamente;snabbt;brzo;burzo;arag;brzo;hurtigt;shpejt;rychlo;raskt;sts rapad;chutka;greitai;axina;brzo;hitro;atri;geshvind;sgiobalta;brzo;cito;azkar;gyflym;malajr;seier;fljott;tapa
